,Bed,Bath,m²,Price,Address,Property_type,New_build,Page,County,Province
745,4.0,3.0,131.0,320000.0,"14 Carlinn Heath, Mullaharlin Road, Dundalk, Co. Louth",Semi-D,no,30,Louth,Leinster
746,2.0,1.0,81.0,131000.0,"13 Macdonagh Junction, Kilkenny, Co. Kilkenny",Apartment,no,30,Kilkenny,Leinster
747,3.0,3.0,128.0,245000.0,"17 Caiseal Na Ri­, Golden Road, Cashel, Co. Tipperary",End of Terrace,no,30,Tipperary,Munster
748,1.0,1.0,,190000.0,"Apartment 15, Cairéal Mór, Galway City, Co. Galway",Apartment,no,30,Galway,Connaught
749,3.0,1.0,105.0,210000.0,"Boher Bué­ Road, Ballaghaderreen, Co. Roscommon",Detached,no,30,Roscommon,Connaught
750,3.0,2.0,159.0,450000.0,"Abbeylands, Arklow, Co. Wicklow",Bungalow,no,31,Wicklow,Leinster
751,5.0,2.0,121.0,240000.0,"16 Orilia Terrace, Cobh, Co. Cork",Terrace,no,31,Cork,Munster
752,4.0,3.0,150.0,369950.0,"53 Saint Margaret's Road, Hampton Wood, Finglas, Dublin 11",Terrace,no,31,Dublin 11,Leinster
753,10.0,6.0,929.0,975000.0,"BURKES OF BALLYCASTLE ACCOMMODATION, Main Street, Ballycastle, Co. Mayo",Terrace,no,31,Mayo,Connaught
754,2.0,2.0,71.0,225000.0,"Apartment 8M, Willan's Way, Dublin 15",Apartment,no,31,Dublin 15,Leinster
755,2.0,1.0,59.0,95000.0,"305 Ridgepool View Apartments, Barret Street, Ballina, Co. Mayo",Apartment,no,31,Mayo,Connaught
756,3.0,3.0,112.0,240000.0,"5 Madeira Grove, The Moyne, Enniscorthy, Co. Wexford",Semi-D,no,31,Wexford,Leinster
757,3.0,2.0,74.0,380000.0,"62 Saint Jarlath Road, Cabra, Dublin 7",Semi-D,no,31,Dublin 7,Leinster
758,2.0,2.0,,235000.0,"Apartment 4, Kiltipper Gate, Tallaght, Dublin 24",Apartment,no,31,Dublin 24,Leinster
759,3.0,2.0,70.0,145000.0,"Apartment 16, Ailesbury Manor, Waterford City, Co. Waterford",Apartment,no,31,Waterford,Munster
