,Date,Address,New_price,Old_price,Change(€),Change(%),Page,County,Province
117,2022-11-17," 112 Carndonagh Park, Donaghmede, Dublin 13 ",385000,285000,100000,35.09,8,Dublin 13,Leinster
118,2022-11-17," 25 Mountain Drive, Ballymote, Co. Sligo ",145000,149000,-4000,-2.68,9,Sligo,Connaught
120,2022-11-17," Drumcask, Swanlinbar, Co. Cavan ",185000,195000,-10000,-5.13,9,Cavan,Ulster
121,2022-11-17," 14 Bothar Bui, Ballyconnell, Co. Cavan ",140000,150000,-10000,-6.67,9,Cavan,Ulster
122,2022-11-17," 28 Brentwood Crescent, Waterford City, Waterford ",275000,289000,-14000,-4.84,9,Waterford,Munster
123,2022-11-17," Back road, , Malahide, County Dublin ",550000,450000,100000,22.22,9,Dublin,Leinster
124,2022-11-17," 33 Brian Boru Ave, Clontarf, Dublin 3 ",399000,450000,-51000,-11.33,9,Dublin 3,Leinster
125,2022-11-17," 49 Boroimhe Birches, Swords, Dublin ",247000,265000,-18000,-6.79,9,Dublin,Leinster
127,2022-11-17," 4 Tara Glen Drive, Navan, Meath ",325000,355000,-30000,-8.45,9,Meath,Leinster
128,2022-11-17," 15 Deans Court, Blackrock, County Dublin ",575000,595000,-20000,-3.36,9,Dublin,Leinster
130,2022-11-17," Glenbride, Rathangan, Kildare ",360000,375000,-15000,-4.0,9,Kildare,Leinster
131,2022-11-17," Rathronshin, Ballybrittas, Laois ",250000,270000,-20000,-7.41,9,Laois,Leinster
132,2022-11-17," 84 Ardilaun Heights, Mullingar, Westmeath ",199000,225000,-26000,-11.56,9,Westmeath,Leinster
133,2022-11-17," 84 Hazelmere, Ballycane, Naas, Kildare ",275000,250000,25000,10.0,9,Kildare,Leinster
134,2022-11-17," 93 College Rise, Drogheda, Louth ",225000,250000,-25000,-10.0,9,Louth,Leinster
135,2022-11-17," 44 Shrewsbury Park, Ballsbridge, Dublin 4 ",945000,995000,-50000,-5.03,9,Dublin 4,Leinster
136,2022-11-17," 73, Block 5A, The Casino, Malahide, Dublin ",545000,595000,-50000,-8.4,10,Dublin,Leinster
137,2022-11-17," 308 Sundays Well, Naas, Kildare ",375000,379000,-4000,-1.06,10,Kildare,Leinster
138,2022-11-17," Tulligee, Clonakilty, West Cork ",350000,360000,-10000,-2.78,10,Cork,Munster
139,2022-11-17," 71 Carton House, The Oaks, Ridgewood, Swords,   County Dublin ",270000,280000,-10000,-3.57,10,Dublin,Leinster
140,2022-11-17," 19 Fernhill , Arklow, Wicklow ",289000,325000,-36000,-11.08,10,Wicklow,Leinster
141,2022-11-17," Old Creagh School, Creagh, Baltimore, Cork ",100000,80000,20000,25.0,10,Cork,Munster
142,2022-11-17," Gormanston Road, Stamullen, Meath ",315000,325000,-10000,-3.08,10,Meath,Leinster
143,2022-11-17," 17 Monastery Heath Court, Clondalkin, Dublin 22 ",225000,245000,-20000,-8.16,10,Dublin 22,Leinster
144,2022-11-17," 21 Pebble Drive, Pebble Beach, Tramore, Waterford ",155000,165000,-10000,-6.06,10,Waterford,Munster
145,2022-11-17," Old Labour Exchange, Quay Road, Dungloe, Donegal ",130000,165000,-35000,-21.21,10,Donegal,Ulster
146,2022-11-17," 10 Griffeen Glen Drive, Lucan, County Dublin ",565000,445000,120000,26.97,10,Dublin,Leinster
147,2022-11-16," 65 The Glen, Portarlington, Co. Laois ",199000,210000,-11000,-5.24,10,Laois,Leinster
148,2022-11-16," 3 Malone Gardens, Sandymount, Dublin 4 ",795000,850000,-55000,-6.47,10,Dublin 4,Leinster
149,2022-11-16," 10 O`Connell Terrace, Clonmel, Co. Tipperary ",115000,140000,-25000,-17.86,10,Tipperary,Munster
150,2022-11-16," 39 Mill Hill Park, Skerries, Co. Dublin ",470000,495000,-25000,-5.05,10,Dublin,Leinster
152,2022-11-16," 40 The Cloisters, Abbeydorney, Kerry ",199000,210000,-11000,-5.24,11,Kerry,Munster
153,2022-11-16," 23 Abbey Drive, Abbey Park, Ferrybank, Waterford ",169000,173000,-4000,-2.31,11,Waterford,Munster
154,2022-11-16," 15 Briarwood, Slieverue, Kilkenny ",349000,369000,-20000,-5.42,11,Kilkenny,Leinster
155,2022-11-16," 1 Tivoli  Villas, Middle Glanmire Road, Tivoli, Cork City ",315000,345000,-30000,-8.7,11,Cork,Munster
156,2022-11-16," 124 Roselawn Road, Castleknock, Dublin 15 ",525000,550000,-25000,-4.55,11,Dublin 15,Leinster
158,2022-11-16," Leitrim Road, Carrick-on-Shannon, Co. Leitrim ",385000,319000,66000,20.69,11,Leitrim,Connaught
159,2022-11-16," 24 Applewood Avenue East, Swords, County Dublin ",270000,285000,-15000,-5.26,11,Dublin,Leinster
160,2022-11-16," 98 Green Rd, Carlow Town, Carlow ",199000,235000,-36000,-15.32,11,Carlow,Leinster
161,2022-11-16," 13 Macdonagh Junction, Kilkenny, Co. Kilkenny, Kilkenny, Kilkenny ",165000,131000,34000,25.95,11,Kilkenny,Leinster
162,2022-11-16," 81 Claremont Park, Rahoon, Galway City ",280000,290000,-10000,-3.45,11,Galway,Connaught
163,2022-11-16," 68 Sheelin Road, Caherdavin Park, Caherdavin, Limerick City ",232500,245000,-12500,-5.1,11,Limerick,Munster
164,2022-11-16," Apartment 49 Reuben Square Block B, Reuben Street, South City Centre, Dublin ",345000,340000,5000,1.47,11,Dublin,Leinster
165,2022-11-16," 11 Rutland Grove, Crumlin, Dublin 12 ",300000,345000,-45000,-13.04,11,Dublin 12,Leinster
166,2022-11-16," 64 Eden Villas, Glasthule, Sandycove, Co. Dublin ",395000,430000,-35000,-8.14,11,Dublin,Leinster
167,2022-11-16," 22 Corrig Park, Dun Laoghaire, County Dublin ",570000,600000,-30000,-5.0,12,Dublin,Leinster
168,2022-11-16," Townspark House, Old Bog Road, Ardee, Louth ",500000,550000,-50000,-9.09,12,Louth,Leinster
169,2022-11-16," Clonbun,Trim,Co. Meath ",80000,90000,-10000,-11.11,12,Meath,Leinster
170,2022-11-15," 14 Alderwood Close, Tallaght,   Dublin 24 ",290000,270000,20000,7.41,12,Dublin 24,Leinster
171,2022-11-15," 70 Blessington Street , Broadstone, Dublin 7 ",850000,995000,-145000,-14.57,12,Dublin 7,Leinster
173,2022-11-15," Aglish, Mooncoin, Co. Kilkenny ",139000,170000,-31000,-18.24,12,Kilkenny,Leinster
174,2022-11-15," 36 Blackmillers Hill, Kildare Town, Kildare ",355000,340000,15000,4.41,12,Kildare,Leinster
