,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
29,3.0,1.0,105.0,575000,"1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",Bungalow,no,1
30,4.0,2.0,150.0,545000,"Tobersool Lane, Balbriggan, Co. Dublin",Detached,no,1
31,4.0,4.0,148.0,460000,"48 Alderwood, Hollystown, Hollystown, Dublin 15",Semi-D,no,1
32,5.0,5.0,372.0,650000,"Ardbawn, Thurles, Co. Tipperary",Detached,no,1
33,2.0,2.0,60.0,245000,"Apartment 4, Reeves Hall, Cork City, Co. Cork",Apartment,no,1
34,2.0,2.0,72.0,345000,"Apartment 112, The Matthew, The Strand, Limerick City, Co. Limerick",Apartment,no,1
35,5.0,4.0,474.0,795000,"2 Hazelhurst, Grantstown Village, Waterford City, Co. Waterford",Detached,no,1
36,3.0,2.0,79.0,395000,"Apartment 14, Tonn Na Mara, Galway City, Co. Galway",Apartment,no,1
37,3.0,3.0,83.0,210000,"140 Ashefield, Mullingar, Co. Westmeath",Semi-D,no,1
38,3.0,2.0,102.0,199000,"27 Ard Michael, Ballinalee Road, Longford Town, Co. Longford",Semi-D,no,1
39,2.0,1.0,61.0,265000,"1A McCurtains Villas, College Road, Cork City, Co. Cork",Semi-D,no,1
40,4.0,3.0,,235000,"37 Curragh Park, Mullagh, Co. Cavan",Semi-D,no,2
41,3.0,1.0,101.0,160000,"1 Thatched Cottages, Bauroe, Feakle, Co. Clare",Detached,no,2
42,2.0,1.0,72.0,550000,"5 Cedar Cottages, Linden Grove, Blackrock, Co. Dublin",End of Terrace,no,2
43,4.0,2.0,124.0,400000,"7 Heron Court, North Circular Road, North Circular Road, Co. Limerick",Semi-D,no,2
44,3.0,1.0,104.0,230000,"Sancta Maria, Church View, Tuam, Co. Galway",Detached,no,2
45,2.0,1.0,57.0,320000,"Tykillen, Gooig, Castleconnell, Co. Limerick",Detached,no,2
46,3.0,3.0,96.0,238950,"39 Corran Ard, Athy, Co. Kildare",Semi-D,no,2
47,5.0,3.0,,925000,"5 Stepaside Park, Stepaside, Dublin 18",Detached,no,2
48,2.0,2.0,143.0,995000,"28 Leeson Park Avenue, Ranelagh, Ranelagh, Dublin 6",Terrace,no,2
49,4.0,4.0,,320000,"Carrowntryla, Dunmore, Co. Galway",Detached,no,2
50,3.0,3.0,90.0,280000,"17 Forgehill Green, Stamullen, Co. Meath",Terrace,no,2
51,4.0,2.0,171.0,495000,"Kiltoghert, Stadalt, Stamullen, Co. Meath",Detached,no,2
52,4.0,5.0,235.0,600000,"Peacockstown, Mulhuddart, Kilbride, Co. Meath",Detached,no,2
53,4.0,2.0,176.0,425000,"The Acres, Brooklodge, Glanmire, Co. Cork",Detached,no,2
54,5.0,2.0,265.0,1475000,"Fern House, 126, Ranelagh, Dublin 6",Terrace,no,2
55,4.0,3.0,,Price on Application,"Heather Point, Knockaglana, Pontoon, Co. Mayo",Detached,no,2
56,4.0,4.0,301.0,550000,"3 Brack Lúin, Baileboro Road, Kingscourt, Co. Cavan",Detached,no,2
57,5.0,3.0,241.0,300000,"Portanure, Lough Gowna, Co. Cavan",Detached,no,2
58,4.0,4.0,342.0,395000,"Caragagh, Virginia, Co. Cavan",Detached,no,2
59,3.0,2.0,100.0,545000,"17 O'Donovan Road, South Circular Road, South Circular Road, Dublin 8",End of Terrace,no,2
60,3.0,1.0,99.0,265000,"97 Rathmore Place, Richmond Hill, Cork City, Co. Cork",Semi-D,no,3
61,5.0,6.0,286.0,1495000,"11 Somerton, Castleknock Golf Club, Castleknock, Dublin 15",Detached,no,3
62,3.0,3.0,,199000,"28 Cluain Ard, Ballyvelly, Tralee, Co. Kerry",Semi-D,no,3
63,4.0,2.0,115.0,395000,"The Old School House, Blackstick, Prosperous, Co. Kildare",Detached,no,3
64,5.0,4.0,285.0,590000,"7 Railway Village, Rampark, Jenkinstown, Co. Louth",Detached,no,3
65,3.0,1.0,84.0,295000,"16 Belfield Park, Ennis Road, Ennis Road, Co. Limerick",Semi-D,no,3
66,2.0,1.0,50.0,265000,"The Penthouse, The Penthouse1 Alexandra Place, Cork City, Co. Cork",Apartment,no,3
67,4.0,3.0,111.0,325000,"1 Orchard Manor, Riverstown, Glanmire, Co. Cork",Semi-D,no,3
68,3.0,1.0,135.0,280000,"Pinegrove, Carhoo, Rathpeacon, Co. Cork",Detached,no,3
69,5.0,3.0,264.0,895000,"Donerea, Balscadden, Balbriggan, Co. Dublin",Detached,no,3
70,6.0,4.0,418.0,Price on Application,"Ballyloughbeg, Woodstown, Co. Waterford",Detached,no,3
71,4.0,2.0,199.0,545000,"Saint Bernadette's, Stamullen Road, Gormanston, Co. Meath",Detached,no,3
72,4.0,3.0,380.0,975000,"Stormont House, Coolbawn, Castleconnell, Co. Limerick",Detached,no,3
73,3.0,2.0,,279000,"3 Old Golf Links Road, Oakpark, Tralee, Co. Kerry",Semi-D,no,3
74,2.0,3.0,76.0,225000,"96A Renville Village, Oranmore, Co. Galway",Semi-D,no,3
75,6.0,4.0,270.0,645000,"Tankardstown, Clonalvy, Co. Meath",Detached,no,3
76,2.0,1.0,69.0,219000,"32 An Mhainistir, Lakeview, Claregalway, Co. Galway",Semi-D,no,3
77,4.0,2.0,155.0,275000,"6 Glentaun Close, Creagh, Ballinasloe, Co. Galway",Detached,no,3
78,4.0,3.0,192.0,299000,"Deerpark, Mountrath, Co. Laois",Detached,no,3
79,3.0,3.0,153.0,425000,"2 Rent An Irish Cottage, Ballyvaughan, Co. Clare",Detached,no,3
80,4.0,2.0,286.0,2495000,"86 Kincora Road, Clontarf, Clontarf, Dublin 3",Detached,no,4
81,3.0,3.0,137.0,375000,"Four Trees, Kilcully, White's Cross, Co. Cork",Detached,no,4
82,4.0,3.0,2324.0,375000,"Tullywicky, Woodlawn, Ballinasloe, Co. Galway",Detached,no,4
83,3.0,4.0,238.0,750000,"Bawnlahan, Tragumna, Skibbereen, Co. Cork",Detached,no,4
84,3.0,3.0,105.0,255000,"21 The Green, Clonattin Village, Gorey, Co. Wexford",Terrace,no,4
